bin	CHR	START	END	SRR089377	SRR054598	SRR053605	SRR054594	SRR089397	SRR054614	SRR089402	SRR053676	SRR053633	SRR053617	SRR054608	SRR053608	SRR054602	SRR089401	SRR053668	SRR054606	SRR054613	SRR053631	SRR054575	SRR053679	SRR054604	SRR053611	SRR053607	SRR053602	SRR054610
18	chr1	10226257	10733853	1745	213	773	196	1687	1352	2247	510	1620	1017	1079	632	811	1768	891	647	960	1289	1339	668	584	919	527	718	1057
19	chr1	10733852	11245931	2124	232	670	155	1874	1134	2403	563	1451	1086	729	677	689	2038	849	678	1013	1445	1088	612	600	869	576	873	933
20	chr1	11245930	11752600	2268	294	799	158	2321	1263	2401	774	1961	1094	1195	710	785	1968	977	642	1179	1418	1330	689	586	1020	659	986	1270
21	chr1	11752599	12261436	2452	201	865	127	2048	1380	2768	461	1885	1359	831	912	769	1909	1016	639	1094	1541	1412	455	488	984	502	809	1257
22	chr1	12261435	12768034	2233	256	737	222	2092	1389	2226	565	1831	1114	1116	621	692	2149	1033	712	1011	1204	1318	511	398	1033	496	740	1313
23	chr1	12768033	14105977	2136	302	756	119	1648	1102	2279	457	2072	983	877	752	816	2252	890	597	1022	1493	1187	434	456	1077	603	763	1049
24	chr1	14105976	14613679	2338	328	1014	199	1819	1663	2342	510	1910	1311	1293	945	826	1951	727	769	1288	1775	1428	532	522	926	687	715	1785
25	chr1	14613678	15124250	2583	327	903	242	2039	1535	2960	579	2158	1250	1417	740	1019	2668	678	775	1632	1730	1808	575	561	1261	733	1004	1465
26	chr1	15124249	15630127	2236	317	1040	208	1900	1880	1925	657	2454	1426	1108	800	892	2434	950	886	1306	2018	1719	568	484	1355	683	857	1611
27	chr1	15630126	16139675	1736	234	741	200	1783	1322	2346	638	1730	1156	822	755	839	1976	898	561	958	1337	1226	517	428	959	555	669	1157
28	chr1	16139674	16653400	1888	216	732	176	1573	1069	2093	372	1754	989	800	630	738	1534	792	539	1285	1164	1180	375	430	926	566	588	1134
29	chr1	16653399	17400193	3260	294	964	247	2527	2308	3533	795	1978	1342	1347	887	1106	3088	1296	870	1386	1843	1994	725	638	1387	681	899	1603
30	chr1	17400192	17907077	2295	241	1081	201	2156	1452	1275	394	1941	1192	882	764	957	1170	812	741	1269	1607	769	246	338	1073	709	864	1212
31	chr1	17907076	18409619	2600	247	843	178	1848	1615	1151	359	2754	1270	1055	922	1110	1203	999	832	1390	1648	688	345	437	1171	778	818	1165
32	chr1	18409618	18913931	2178	277	964	219	1823	1891	848	384	2475	1258	1035	719	1050	1280	1111	790	1550	1641	714	405	362	1084	765	1010	1283
33	chr1	18913930	19417382	2563	245	853	285	1847	1678	1075	214	1838	1147	952	619	903	1096	902	535	1063	1536	643	263	352	1122	529	614	1173
34	chr1	19417381	19925179	1966	318	1081	216	1823	1589	1211	234	2166	1172	1189	814	981	1089	967	703	1151	1451	838	213	373	922	563	721	1317
35	chr1	19925178	20432446	1838	273	722	160	2001	1561	1564	256	1994	929	979	686	884	1151	923	665	976	1270	652	261	351	1176	425	832	1356
36	chr1	20432445	20937181	2051	331	739	265	2186	1672	1775	319	2242	1195	1114	693	1138	1197	1092	745	1416	1448	976	256	428	1170	675	964	1616
37	chr1	20937180	21451136	1998	189	636	137	1901	1060	1122	214	1452	1002	793	548	763	1171	918	561	864	1171	701	173	305	833	477	678	1076
38	chr1	21451135	21981275	1820	269	722	150	1933	1239	946	267	1960	1084	898	792	909	807	1016	658	1184	1336	687	211	379	928	504	729	1404
39	chr1	21981274	22504648	2155	265	756	135	1743	1263	1149	275	1693	1030	1016	605	667	886	762	624	986	1143	617	213	345	909	449	726	1181
40	chr1	22504647	23007163	1918	317	665	187	2199	1553	1148	354	2154	1341	1012	712	1026	958	1108	732	1509	1669	727	312	395	1053	680	960	1317
41	chr1	23007162	23513046	1940	312	827	263	1756	1290	1037	304	1454	923	1022	641	813	1072	990	725	960	1220	536	253	317	1076	630	695	1078
42	chr1	23513045	24023117	1606	274	796	317	2019	1738	1317	314	1795	1168	994	651	894	933	1058	754	1175	1492	597	221	338	1117	631	835	1202
43	chr1	24023116	24539573	2160	278	906	251	1821	1612	1233	279	1779	1127	923	728	949	742	1167	706	1126	1567	590	205	340	1102	524	834	1175
44	chr1	24539572	25046511	2098	268	818	232	1959	1561	1209	239	1971	1084	1053	777	1028	993	1114	684	1073	1433	957	207	352	1138	639	891	1517
45	chr1	25046510	25557511	1930	297	817	196	1871	1222	1219	264	1587	993	1159	614	784	1076	1030	638	1181	1409	837	190	324	812	560	788	1255
46	chr1	25557510	26141531	1982	226	661	162	1771	1292	953	330	1653	1033	1002	531	1064	1049	1090	679	1311	1454	670	254	313	917	663	594	1187
47	chr1	26141530	26646792	1970	215	722	131	1913	1296	1303	194	1664	1152	915	682	821	1185	1017	740	1027	1090	779	212	277	1008	468	875	1212
48	chr1	26646791	27164189	1767	201	867	171	1727	1560	1319	233	1441	1011	889	731	733	1260	1086	628	1127	1480	711	228	370	990	513	758	1249
49	chr1	27164188	27676574	1831	295	569	198	1422	1412	1314	288	1585	1021	879	686	900	1176	933	559	1108	1340	596	225	289	977	487	708	1151
50	chr1	27676573	28188287	1921	276	885	173	1529	1674	1718	364	1850	1087	876	645	854	1324	1023	734	1235	1300	694	282	400	873	557	879	1244
51	chr1	28188286	28698553	1787	202	601	198	1849	1388	1437	219	1439	906	721	556	809	868	730	550	963	1396	590	174	278	909	442	750	1154
52	chr1	28698552	29211502	1599	274	738	181	1579	1410	1159	239	1530	897	924	601	861	981	897	626	900	1352	707	183	364	901	565	582	1371
53	chr1	29211501	29719720	1826	257	698	137	1498	1207	1081	175	1554	1021	1007	610	629	1305	1195	693	967	1301	648	236	346	911	585	690	1068
54	chr1	29719719	30377772	2134	294	807	173	1883	1492	1563	283	1897	1193	1186	703	747	1418	1182	700	1366	1721	904	328	403	1067	556	986	1172
55	chr1	30377771	30884697	2076	294	910	239	2065	1431	1241	243	1943	1033	856	741	723	1084	944	700	1253	1353	593	285	383	945	513	908	1302
56	chr1	30884696	31404558	2056	272	683	155	2233	1396	1681	186	2336	1064	1062	720	916	1145	991	677	1057	1757	775	262	597	1233	498	907	1693
57	chr1	31404557	31912352	1904	280	705	194	1831	1583	1375	248	1692	1045	1086	652	915	817	879	675	903	1295	644	181	332	1295	553	668	1437
58	chr1	31912351	32419825	1978	340	807	205	1676	1437	978	324	2148	1103	1430	659	1052	1170	1090	768	1389	1518	812	304	423	1109	564	960	1516
59	chr1	32419824	32930737	2249	325	695	229	1821	1273	1020	341	2081	1113	1100	651	1138	767	966	644	862	1296	595	273	330	1098	540	912	1379
60	chr1	32930736	33441909	1951	202	636	151	1739	1347	1025	281	1551	991	804	753	859	1243	1021	667	955	948	800	293	283	981	536	787	1375
61	chr1	33441908	33954298	2003	255	890	146	1770	1265	928	231	1964	1113	1029	684	907	1347	963	678	1146	1435	675	236	363	985	624	771	1350
62	chr1	33954297	34468072	2131	330	969	197	1727	1385	1186	239	2428	1203	1248	773	891	1242	1010	743	1339	1624	600	283	356	1295	624	840	1467
63	chr1	34468071	34983477	2223	260	943	290	2213	1422	1347	255	2105	1185	1282	699	864	1353	1142	837	1220	1827	810	292	368	1308	489	1090	1276
64	chr1	34983476	35499924	2031	320	857	217	2058	1854	1326	276	2128	1261	1035	598	1169	1320	1209	673	1349	1650	796	295	333	1011	791	831	1781
65	chr1	35499923	36013258	2082	199	770	108	1724	1108	1072	175	1857	1189	1028	587	836	1194	904	682	800	1339	593	213	266	931	447	660	1004
66	chr1	36013257	36519334	2049	206	692	208	1703	1536	1177	325	1845	897	974	585	668	1116	976	586	1210	1056	678	226	360	825	546	981	1341
67	chr1	36519333	37027915	1974	274	754	231	1868	1535	1515	256	1935	1218	927	706	990	1152	770	649	968	1418	859	267	381	1058	604	833	1249
68	chr1	37027914	37531910	2204	306	893	187	2117	1423	1937	333	2169	1291	1041	631	1000	1076	1066	709	1601	1976	652	272	381	879	682	946	1713
69	chr1	37531909	38045441	2278	272	916	209	2271	1541	1649	341	2057	1062	1020	656	958	966	1262	744	1166	1556	774	326	427	938	532	872	1219
70	chr1	38045440	38555729	1580	195	936	190	1829	1369	1421	244	1901	1025	849	617	818	830	940	704	1096	1225	660	326	313	942	506	657	1138
71	chr1	38555728	39061874	2315	323	724	253	1905	1253	1550	318	1939	857	1260	680	847	1528	1120	655	1157	1669	775	283	378	857	587	775	1137
72	chr1	39061873	39575584	1889	240	730	178	2001	1536	1233	256	1792	1000	1128	649	950	1027	1055	597	1241	1406	617	272	288	984	549	667	1422
73	chr1	39575583	40098363	2068	222	623	182	2045	1116	1463	218	1809	952	957	698	862	831	1019	717	1051	1374	505	241	364	1064	598	758	1229
74	chr1	40098362	40623237	2104	267	768	206	2141	1409	1262	326	2189	952	1064	670	911	1182	1007	523	1123	1166	819	207	319	1063	583	830	1498
75	chr1	40623236	41139478	1942	233	692	138	1699	1363	1267	195	1738	1152	865	585	841	703	965	582	1062	1339	883	213	303	1045	589	837	1122
76	chr1	41139477	41652605	1841	298	774	240	2082	1796	1243	257	1883	1086	1256	712	869	963	1091	763	1128	1261	921	400	413	1092	502	779	1194
77	chr1	41652604	42160098	2128	268	922	236	1770	1639	1433	341	2280	1009	1334	639	1029	1113	875	731	1410	1833	793	312	420	1193	696	965	1284
78	chr1	42160097	42672731	2104	271	937	193	1838	1606	1166	270	2324	1295	1498	926	1014	1097	1192	831	1176	1764	783	273	400	1162	764	977	1673
79	chr1	42672730	43185038	2238	229	780	164	1957	1355	1512	229	1714	960	880	828	732	1101	1178	699	792	1616	622	201	275	1091	585	786	1189
80	chr1	43185037	43701166	2061	309	839	182	2005	1678	1595	167	1810	1106	1064	681	997	1165	1324	841	1148	1630	671	258	312	1044	632	763	1529
81	chr1	43701165	44208206	2110	346	741	215	2214	1580	1597	208	1924	1069	994	702	827	1245	943	828	1235	1186	775	306	406	1183	625	1003	1354
82	chr1	44208205	44713445	2349	289	807	269	1656	1148	1303	297	1928	1329	1254	787	1069	1399	955	689	1054	1491	682	270	440	1163	571	769	1440
83	chr1	44713444	45218455	1779	276	879	189	1981	1669	1371	229	2298	1193	1023	797	1025	1170	1000	571	1237	1233	751	296	360	1196	614	690	1317
84	chr1	45218454	45741574	1970	250	652	184	1834	1601	1247	267	1971	931	926	588	824	974	894	574	1002	1352	676	246	322	1127	497	821	1214
85	chr1	45741573	46260718	1880	190	809	183	1645	1332	1485	262	1542	1056	995	589	975	1120	996	614	1028	1193	636	202	292	907	507	659	1357
86	chr1	46260717	46775472	2628	293	744	189	1819	1938	1403	288	2024	1062	1215	618	962	946	1212	777	1427	1486	728	295	376	1041	633	769	1426
87	chr1	46775471	47295634	2364	418	772	349	1863	2647	1773	278	1882	1206	1723	668	1428	886	895	982	2013	1447	589	319	404	1058	576	848	2049
88	chr1	47295633	47883505	2105	287	692	233	2117	1831	1218	192	1479	1007	1572	657	1299	902	1051	805	1602	1404	564	213	366	1004	582	765	1885
89	chr1	47883504	48387507	2315	502	944	329	1777	2783	1460	176	2004	981	1665	704	1468	1019	944	1287	1890	1618	841	274	471	1031	601	886	2090
90	chr1	48387506	48921346	1891	394	744	234	1775	1967	1444	314	1576	882	1296	668	1347	1054	991	874	1527	1167	518	152	282	1128	420	710	1709
91	chr1	48921345	49427712	2043	450	1002	339	1826	2474	1541	313	1953	1168	1321	694	1197	1112	1091	967	1785	1778	911	263	377	1037	595	937	1870
92	chr1	49427711	49954043	1984	454	763	228	1733	1708	1359	211	2042	1059	1336	671	1071	1374	1094	983	1438	1520	571	209	373	1036	528	815	1700
93	chr1	49954042	50491136	2486	309	743	260	2316	1981	1311	283	1890	1026	1442	657	1232	1144	1112	916	1496	1476	630	240	288	1019	567	716	1727
94	chr1	50491135	50997292	2094	463	711	322	2060	2057	1280	204	2159	1203	1539	754	1203	742	1020	918	1567	1369	757	302	350	937	521	877	1858
95	chr1	50997291	51513694	1831	319	750	237	1701	1816	1088	178	1590	877	1301	603	1045	1110	1079	832	1236	1367	692	203	233	831	510	747	1491
96	chr1	51513693	52025579	1740	381	767	218	1797	2031	1096	210	1548	1030	1378	714	1141	909	1004	907	1539	1482	592	209	195	1202	502	759	1771
97	chr1	52025578	52533904	1877	306	680	256	1612	1899	943	327	1622	1072	1263	732	1107	1015	1008	914	1390	1224	618	218	228	1190	477	654	1484
98	chr1	52533903	53047635	1729	312	758	242	1744	1805	1080	174	1644	960	1194	494	1062	787	858	865	1502	1355	645	181	249	978	605	682	1655
99	chr1	53047634	53560558	2019	305	718	217	1716	1692	1006	200	1465	1044	1269	583	1095	1245	928	933	1619	1149	706	236	267	933	500	710	1683
100	chr1	53560557	54067192	2574	394	761	279	2004	1870	1021	240	1978	1223	1685	778	1451	1113	1053	1151	1951	1750	685	285	318	1354	482	888	2146
101	chr1	54067191	54572849	2067	468	845	272	2054	2456	1423	238	2026	1089	1763	782	1332	1158	1156	1034	2074	1727	786	335	374	1041	647	1004	2082
102	chr1	54572848	55084198	1881	464	927	299	1886	1933	1277	222	1886	1204	1245	776	1237	1140	1016	931	1633	1641	744	215	338	925	567	803	1738
103	chr1	55084197	55598342	2149	357	726	223	1936	1894	1319	256	1928	1000	1529	591	1202	1248	914	941	1410	1168	480	253	316	859	493	766	1669
104	chr1	55598341	56111029	2577	419	947	305	1860	2155	1572	242	2006	1178	1385	617	1103	1198	1091	994	1780	1414	637	218	463	1043	659	814	2030
105	chr1	56111028	56620141	2415	408	793	277	1836	1848	1007	287	1778	1051	1392	622	1143	1004	943	806	1670	1280	654	254	309	1089	573	737	1809
106	chr1	56620140	57132292	1976	413	898	233	2009	2106	1323	163	2167	1097	1690	766	1373	1045	889	884	1672	1643	826	282	358	1119	621	904	1694
107	chr1	57132291	57637378	1997	428	719	260	1783	1895	1020	264	1885	1120	1525	638	1301	1054	1278	812	1435	1822	792	226	412	984	559	730	1622
108	chr1	57637377	58145690	2471	372	811	254	1901	1982	930	187	1878	1187	1354	635	1276	965	1092	971	1690	1656	582	255	404	1098	582	766	1668
109	chr1	58145689	58659574	2000	470	933	312	1666	2060	1252	251	2204	1064	1378	752	1286	1023	1077	1061	1509	1443	694	189	357	1064	620	921	1681
110	chr1	58659573	59182763	2040	431	852	304	1893	2232	1438	230	2007	1096	1461	696	1253	1016	872	895	1471	1278	672	244	383	1079	621	713	1812
111	chr1	59182762	59692197	1640	323	923	244	1894	2028	1422	193	1929	1056	1375	767	1196	913	1147	872	1764	1407	1009	254	407	1085	574	870	1786
112	chr1	59692196	60226323	2397	331	870	228	1924	2386	1125	269	1867	1116	1270	751	1100	1109	1234	989	1522	1661	770	215	334	1048	557	817	1996
113	chr1	60226322	60737880	2481	388	876	291	2149	2102	1390	247	2004	1048	1471	838	1417	1229	1146	900	1599	1489	707	211	346	1174	607	971	1879
114	chr1	60737879	61269405	2145	385	889	275	1975	1862	1356	257	2257	1125	1700	629	1309	1243	1122	938	1501	1321	766	242	369	1005	593	767	1799
115	chr1	61269404	61772333	2141	325	794	290	1712	1615	1205	259	2203	1000	1167	694	1117	1110	1202	859	1435	1584	687	262	379	932	672	799	1665
116	chr1	61772332	62279547	2215	360	705	253	1899	1757	1386	300	1866	1043	1333	641	1314	1304	936	809	1254	1611	713	284	323	1181	609	831	1784
117	chr1	62279546	62790792	2146	365	869	243	1714	2058	1389	224	1650	1015	1546	704	1229	1139	895	890	1542	1386	714	305	362	996	572	753	1527
118	chr1	62790791	63307796	2011	305	667	213	1806	1713	1128	235	1873	862	1091	550	1000	763	1009	686	1334	1503	577	192	302	1044	463	736	1467
119	chr1	63307795	63814521	1870	342	869	216	1915	2129	1078	224	1707	990	1296	811	1148	840	956	870	1508	1220	493	165	347	1028	477	826	1626
120	chr1	63814520	64323692	2197	330	638	255	2076	1801	1202	203	1744	926	1514	492	1132	892	859	719	1304	1277	592	202	294	883	453	711	1756
121	chr1	64323691	64841130	2238	373	866	311	1819	2090	1355	244	2235	1169	1272	596	1229	1007	1068	1115	1572	1491	699	238	458	1072	627	804	1932
122	chr1	64841129	65349175	2232	394	885	286	1612	1800	1118	285	1765	1281	1290	673	1060	871	1156	1058	1587	1606	604	222	478	1004	553	969	1704
123	chr1	65349174	65858609	1574	355	903	204	2116	2133	1241	362	1939	1077	1437	690	1246	885	973	1032	1530	1330	662	266	372	1084	693	895	1643
124	chr1	65858608	66391647	1815	359	720	263	1736	1887	1437	238	1800	1008	1564	708	1136	980	1137	761	1427	1425	661	257	353	1101	471	658	1295
125	chr1	66391646	66909573	2182	330	738	264	1349	1944	1153	300	1971	958	1383	641	1135	1043	915	875	1269	1432	664	233	377	970	549	762	1531
126	chr1	66909572	67426380	2149	454	830	318	1579	2507	1034	330	1900	973	1705	705	1402	809	1178	1055	1520	1389	798	243	335	1151	636	859	1804
127	chr1	67426379	67942864	1706	351	719	264	1931	1671	1238	293	1700	1057	1202	641	1068	923	1013	968	884	1443	628	139	289	903	569	714	1692
128	chr1	67942863	68450392	1948	394	760	258	1809	1922	1234	251	1816	1169	1326	587	1335	941	1096	912	1243	1329	693	221	302	1009	642	712	1660
129	chr1	68450391	68961342	2156	343	740	333	1698	1936	1178	225	2010	1133	1309	688	1310	978	1184	947	1661	1640	626	177	368	1150	603	870	1874
130	chr1	68961341	69488767	2142	347	759	276	1898	2005	1433	190	1909	1044	1398	834	1163	1059	999	895	1310	1384	677	196	359	1059	555	801	1924
131	chr1	69488766	70007691	1840	368	697	230	1632	1854	1290	220	1832	954	1157	656	1020	874	1107	762	1403	1282	645	226	284	920	539	824	1712
132	chr1	70007690	70529864	2041	327	642	285	1892	2001	1346	192	1635	963	1525	656	1170	1124	914	975	1348	1400	849	230	360	938	483	754	1819
133	chr1	70529863	71037016	1786	368	764	254	1661	1786	1257	302	1802	1125	1251	833	1378	964	1172	932	1482	1435	516	268	279	950	557	657	1394
134	chr1	71037015	71554304	1966	363	901	249	2377	1916	1174	255	1634	1120	1334	541	1086	1124	1308	908	1342	1651	690	241	266	972	641	818	1923
135	chr1	71554303	72075942	1659	344	657	205	1754	1728	1241	158	1826	1004	1429	658	1235	982	1109	1009	1220	1521	604	260	302	915	628	641	1628
136	chr1	72075941	72585819	1720	399	886	201	1852	2079	1217	280	2081	1035	1354	872	1382	915	1065	793	1580	1761	637	232	337	1098	722	723	1840
137	chr1	72585818	73092651	2248	341	854	269	2215	2207	1461	280	1883	1135	1671	674	1140	1210	814	957	1692	1531	679	278	384	1042	582	907	2015
138	chr1	73092650	73610311	2031	377	764	258	1893	1939	1222	234	2001	912	1488	733	1223	947	1176	992	1626	1602	842	222	381	1045	671	879	1623
139	chr1	73610310	74121831	2200	342	752	281	1796	2191	1278	275	2208	1018	1257	767	1040	1230	940	966	1384	1696	548	208	286	1028	572	817	1683
140	chr1	74121830	74631256	1858	355	878	259	1953	2071	1295	270	1852	1050	1476	671	1196	908	1086	924	1418	1479	658	219	306	1039	541	1067	1631
141	chr1	74631255	75147867	1926	404	752	263	1417	2064	1099	165	1744	1063	1651	733	1146	1026	1063	832	1492	1498	748	228	448	978	591	864	1638
142	chr1	75147866	75672638	2272	381	1003	249	1957	2060	1350	240	1886	1163	1532	707	1253	1073	1155	955	1311	1677	821	270	351	1138	636	878	2000
143	chr1	75672637	76204392	2305	374	946	258	1947	2094	1245	234	2192	1257	1506	564	1386	1201	962	915	1649	1488	818	257	370	1076	697	735	1596
144	chr1	76204391	76719279	2099	349	882	227	1928	2013	972	251	2146	1311	1282	711	1274	864	1093	753	1446	1730	573	177	303	921	668	1061	1758
145	chr1	76719278	77228446	2234	399	870	245	1864	1949	1495	209	2255	1065	1620	712	1231	1353	1179	869	1501	1650	690	304	375	1062	470	804	1934
146	chr1	77228445	77751123	1917	398	848	255	2106	1955	1169	149	2062	1179	1486	706	1373	1237	1110	992	1624	1631	654	241	298	1013	519	818	1619
147	chr1	77751122	78258528	2106	328	805	221	1858	1657	1000	224	1716	1127	1096	721	1187	893	1162	774	1410	1307	586	203	345	962	456	599	1731
148	chr1	78258527	78782748	2069	348	677	241	1689	1876	906	244	2044	897	1342	666	1123	1143	1240	740	1319	1384	590	202	340	912	539	766	1585
149	chr1	78782747	79291734	2253	319	793	238	2021	1711	1019	232	1799	1021	1478	704	1118	1110	1163	1082	1329	1480	753	243	372	1077	517	727	1577
150	chr1	79291733	79806319	1769	360	802	281	1876	1973	1488	145	2091	1267	1316	717	1151	1187	953	836	1539	1652	658	183	428	962	589	899	1811
151	chr1	79806318	80324796	1967	370	721	257	1707	2030	1015	231	1803	949	1429	631	1060	986	1182	847	1144	1107	662	194	303	937	557	829	1631
152	chr1	80324795	80844252	1811	299	948	270	2115	1652	1045	267	1613	1082	1352	743	1108	801	966	879	968	1335	690	231	358	957	510	787	1738
153	chr1	80844251	81361479	1948	432	788	320	1781	2311	1224	296	2062	1210	1431	811	1206	1327	1002	967	1671	1647	582	296	307	1051	572	772	1678
154	chr1	81361478	81878620	2244	339	778	246	1802	1969	1003	232	1782	976	1212	709	1020	905	1066	761	1446	1236	652	233	312	911	553	768	1691
155	chr1	81878619	82385135	1877	374	742	274	1918	1807	926	212	1890	985	1436	585	1192	999	874	815	1470	1401	617	254	328	1019	580	762	1813
156	chr1	82385134	82902153	1859	422	741	249	1663	2061	1061	216	1854	1213	1562	699	1106	1075	1024	890	1459	1526	675	287	342	1058	638	710	1880
157	chr1	82902152	83408336	1814	341	826	243	1765	2114	1250	256	2068	1223	1261	769	1281	985	993	1081	1512	1444	567	248	364	1143	692	743	1730
158	chr1	83408335	84118078	2200	307	814	267	1857	1943	1291	238	1990	1267	1131	766	1129	1049	1216	958	1497	1336	553	238	331	1008	576	677	1699
159	chr1	84118077	84633146	2026	357	828	308	1787	1910	1094	226	1595	903	1450	858	1218	1098	1175	1004	1467	1186	632	216	313	1041	511	787	1752
160	chr1	84633145	85142639	2053	343	808	216	1853	1937	962	254	2026	981	1371	778	1223	1088	1213	939	1473	1334	774	226	362	906	482	889	1681
161	chr1	85142638	85647041	2030	406	884	311	2051	2372	905	318	2019	1153	1546	711	1237	907	1251	925	1463	1765	678	279	356	1046	589	718	1758
162	chr1	85647040	86161038	1771	397	862	260	2132	2024	1145	272	1911	982	1574	690	1232	1174	1071	993	1544	1517	776	276	392	1119	530	767	2055
163	chr1	86161037	86698978	2035	369	912	247	1908	1964	1122	247	1964	996	1270	521	1177	964	966	896	1386	1250	564	219	327	1029	587	695	1633
164	chr1	86698977	87226399	1833	363	731	233	1561	1878	1096	200	1680	940	1318	618	1018	877	943	841	1398	1309	723	169	319	952	698	781	1559
165	chr1	87226398	87737208	1758	328	706	184	1983	1718	1139	285	1903	1056	1248	732	1174	1010	1211	865	1285	1121	716	217	335	1072	611	734	1707
166	chr1	87737207	88245943	1795	414	760	305	2225	2146	977	183	1853	1011	1301	782	1407	1118	866	968	1704	1655	530	216	343	929	587	867	2036
167	chr1	88245942	88750674	2058	366	861	273	1747	1912	1138	232	2002	1085	1450	669	1164	1011	812	936	1444	1396	611	254	346	1111	572	814	1649
168	chr1	88750673	89261033	2032	361	777	304	1803	2078	1573	164	2094	1096	1522	687	1532	917	925	1124	1687	1674	795	269	386	1218	524	1033	1839
169	chr1	89261032	89777155	2018	307	744	243	1868	1698	1168	226	1927	994	1309	603	1272	928	923	896	1268	1348	580	190	256	1012	550	698	1749
170	chr1	89777154	90310710	2170	434	824	305	1543	2821	1223	227	1603	966	1962	664	1416	953	987	1027	1949	1390	562	223	372	1114	474	705	2239
171	chr1	90310709	90832180	1769	531	873	337	1853	2806	1033	187	1836	1209	1931	725	1779	1231	1090	1144	2033	1282	880	259	411	1117	725	915	2523
172	chr1	90832179	91338865	1854	447	847	347	1919	2846	966	243	2101	1282	1659	659	1665	643	1007	1153	2019	1634	733	264	381	1006	840	847	2423
173	chr1	91338864	91872517	2004	397	783	331	1974	2013	1019	218	1848	1092	1560	593	1580	1050	921	1094	1680	1341	769	221	258	808	522	717	2219
174	chr1	91872516	92382329	1863	469	734	287	1953	2642	1316	179	2034	1051	1811	717	1414	1094	1144	1197	1843	1601	704	225	317	962	611	674	2046
175	chr1	92382328	92902397	1886	392	923	320	2109	2437	1169	243	1694	1194	1816	613	1529	983	1077	1060	1812	1181	484	194	336	1017	547	824	1983
176	chr1	92902396	93423424	1741	382	827	332	1688	2399	990	269	1548	977	1780	564	1580	1149	977	1042	1747	1260	645	221	291	994	517	620	1955
177	chr1	93423423	93937329	1604	418	856	268	1904	2500	1184	200	1660	883	1581	647	1438	1014	953	1106	1503	1593	597	195	271	1046	539	713	2007
178	chr1	93937328	94460823	1543	456	819	419	1884	2836	1214	196	1740	1015	1764	616	1529	989	975	1280	2248	1375	752	240	313	1035	549	752	2447
